Machine Name,Client,Contact person,phone number,In charge of machine (name),Role,No,LOCATION,Machine S/No,Installation Date,Last Service Date,Next Service
Maternity Equipment,Shalom Medical Services,,,,,,Kitale,Infant Rdiant Warmer,,,
Maternity Equipment,Legacy FHOK Medical Centre,Ishmael,724876771,Erick,In Charge,715609875,"Longisa,Bomet",Hydraulic Delivery Bed,07/03/2025,07/03/2025,
Maternity Equipment,Kamoi Dispensary,,,,,,Kitale,Radiant warmer,,,
Maternity Equipment,Haven Hospital,,,Okwara N,In Charge,706298941,Nairobi,Infant radiant warmer,22/07/2025,22/07/2025,
Maternity Equipment,Maiko Medical Centre,Michael,,,,,,Infant radiant warmer,,,
Maternity Equipment,Palmcare Repro Hospital,,,,,,,Fetal Monitor,,,
Maternity Equipment,St. Ursula's Hospital,Sr. Susan Wanjiru,711122922,,,,Kitale,Infant radiant warmer,02/02/2026,02/02/2026,
Maternity Equipment,Cure Pack,Franklin,,,,,Githurai,250884156,02/02/2026,02/02/2026,
Maternity Equipment,Holy Rosary Health Centre,Sr Kate,708532842,,,,kitale,250884160,23/02/2026,23/02/2026,
Maternity Equipment,Holy Rosary Health Centre,Sr Kate,708532842,,,,Kitale,2024716006,23/02/2026,23/02/2026,
Maternity Equipment,Mother Francisca Hospital,John Kemboi,729434287,,,,kapsabet,infant baby warmer,25/03/2026,25/03/2026,
Maternity Equipment,Alpha Hill Hospital,Kelvin,757564923,,,,Eldoret,infant baby warmer,22/03/2026,22/03/2026,
Maternity Equipment,Mbungoni Health Centre,Juliet,712702304,Claudia,In Charge,708848116,mombasa,225100905l,30/03/2026,30/03/2026,
Maternity Equipment,alpha Hill Hospital,kelvin,757564923,,,,Eldoret,3241011019,22/03/2026,22/03/2026,
Maternity Equipment,Umoja Health Care,Alfred,,,,,Nairobi,Infant radiant warmer,19/03/2026,19/03/2026,
Maternity Equipment,Tarigo Medical,Kirui,,,,,Tarigo,Infant radiant warmer,26/03/2026,26/03/2026,
Maternity Equipment,Matu Mission Hospital,,,,,,matuu,BB-100-2220901011,,,
Maternity Equipment,Matu Mission Hospital,,,,,,matuu,RO-2410230911011299,,,
Dry Chemistry Analyzer,ASAD MEDICAL CENTRE,Abdulahi,722879652,Osman,Lab Technician,700184334,Ahgadera,,,,
Dry Chemistry Analyzer,THAGANA COUNTY HOSPITAL,Karani,720411281,,,,Sagana,128002573,14/10/2022,14/04/2023,
Dry Chemistry Analyzer,THE GATEWAY DIAGNOSTIC AND HEALTHCARE,ABDI,723055539,,,,Kakuma,,,,
Dry Chemistry Analyzer,ALPHAHILL MEDICAL CENTRE,Doreen,722409080,Josline,Lab Technician,713800069,Eldoret,128002272,20/11/2024,07/11/2025,03/11/2026
Dry Chemistry Analyzer,PRECISE HEALTHCARE(ALMISBAH),Collins,723876387,,,,Nairobi,,,,
Dry Chemistry Analyzer,BAYAAN NURSING HOME(MN-Chip),Chairman,702033380,Abdi,Lab Technician,729750003,Wajir,,,,
Dry Chemistry Analyzer,ARAWELO MEDICAL CENTRE,DR Kadro,700386657,Justus,Lab Technician,799837706,South C,,,,
Dry Chemistry Analyzer,Hayat Medical Centre,Dr Mohammed,,,,,South Sudan,128003108,15/08/24,,
Dry Chemistry Analyzer,Masaba Hospital,Esther,,Damian,Lab Technician,728524287,Masaba,128004628,26/8/2024,07/11/2025,03/11/2026
Dry Chemistry Analyzer,Dadaab Sub-county Hospital,Mohammed,,,,,Dadaab,,,,
Dry Chemistry Analyzer,Comfy Healthcare,,,,,,Malaba,128100943,,,
Dry Chemistry Analyzer,Kibirichia Catholic Dispensary,Sr Rose,735188360,,,,Meru,128100905,26/05/2026,26/05/2026,26/05/2027
Suction Machine,Mishan MedicaL Centre,,,,,,,,,,
Suction Machine,Tosha Hospital,,,,,,,2  Bottle,01/02/2020,,
Suction Machine,Nightingale Hospital,,,,,,,2 Bottle,01/10/2020,,
Suction Machine,Shekina Glory Medical Clinic,,,,,,,,01/09/2020,,
Suction Machine,Bayaan Nursing Home,,,,,,,2B,24/5/2021,,
Suction Machine,Shanzia Medical,,,,,,,1B,06/02/2021,,
Suction Machine,Medpost Platinum Care Limited,,,,,,,1B,06/04/2021,,
Suction Machine,Shepherds Hospital,,,,,,,1B,01/06/2021,,
Suction Machine,Shazia Medical,,,,,,,1B,01/06/2021,,
Suction Machine,Mama Ngina University,,,,,,,1B,22/09/2024,,
Suction Machine,Dynamic Healthcare,,,,,,,1B,22/09/2024,,
Suction Machine,Matuu Mission Health Centre,,,,,,,,07/05/2023,,
Suction Machine,Amina Community Medical Clinic,,,,,,,1B,01/06/2022,,
Suction Machine,Trans Marigold Hospital,,,,,,,2B,01/02/2022,,
Suction Machine,St Pauls Dawa medical Centre,,,,,,,1B,,,
Suction Machine,Mikindani Mediccal Centre,,,,,,,1B,01/06/2022,,
Suction Machine,St John Divine,,,,,,,2B,01/10/2022,,
Suction Machine,Mutito Ctholic,,,,,,,2B,01/10/2022,,
Suction Machine,Comfy Healthcare,Benjamin,700491040,,,,,84,31/07/2024,,
Suction Machine,Covenant hospital,,,,,,,7A23B,07/12/2024,07/12/2024,02/12/2025
Suction Machine,Comfy Healthcare,,,,,,,7A-23D,07/08/2025,07/08/2025,
Suction Machine,Luka Premier Hospital,,,,,,,7A-23D,30/07/2025,30/07/2025,
Suction Machine,Holy Rosary,Sr  kate,7085328342,,,,,,23/02/2026,23/02/2026,23/09/26
CPAP & BIPAP Machine,Morphic enterprise Limited,,,,,,,Cpap,,,
CPAP & BIPAP Machine,Golden Crest,,,,,,,Cpap,,,
CPAP & BIPAP Machine,HOLY ROSARY,,,,,,,Pumwani CPAP,,,
Urine Analyzer,MUI Chemist,Charles,701283215,Patrick,Lab Technician,724277253,Wote,HS0020231130002,,,
Urine Analyzer,Asad Medical Centre,,,,,,Haghadera,,,,
Urine Analyzer,Dawafront,,,,,,,,,,
Urine Analyzer,Palmcare Sinai Hospital,,,,,,Eldoret,,,,
Urine Analyzer,Hayat Medical Centre,,720987123,,,,South Sudan,HS00202311130006,16/8/2024,,
Urine Analyzer,Gateway Point Hospital,Dr Mohammed,741406792,Nelson,Lab Technician,715195247,Isiolo,50Y03170,31/8/2024,,
Urine Analyzer,Shimo la Tewa,Hezron,722167093,,,,Shanzu,50y04662,20/01/2026,,
Patient Monitor,Shynon Medical Centre,Javan,710236277,,,,Eastleigh,,,,
Patient Monitor,Watamu Dispensary,Christine,720838318,,,,Watamu,,,,
Patient Monitor,St Elizabeth Mukumu,,,,,,,,03/04/2021,,
Patient Monitor,Bencarson Investment,,,,,,,,30/4/2021,,
Patient Monitor,Bayaan Nursing Home,Chairman,702033380,Abdi,Lab Technician,722602400,Wajir,,24/5/2021,,
Patient Monitor,Tosha Hospital,Raymond,720470076,,,,Mombasa,,01/06/2021,,
Patient Monitor,Mwatate Community Healthcare,,,,,,Eldoret,,,,
Patient Monitor,Cedar Hospital,Dr Joash,715220736,,,,Eldoret,,22/09/2024,,
Patient Monitor,Mtwapa Medical Clinic,Bill,713256000,,,,Mtwapa,,01/06/2022,,
Patient Monitor,Mamela Medical Clinic,Elphas,723315410,,,,,,01/06/2022,,
Patient Monitor,St Helier Medical Centre,,,,,,Kisumu,,,,
Patient Monitor,St Johns Divine,,,,,,,,01/01/2023,,
Patient Monitor,Palmcare Sinai Hospital,,,,,,Eldoret,,,,
Patient Monitor,Kereita,,,,,,,5 Parameter,30/08/2024,,
Patient Monitor,St Damiano Mission Hospital,,,,,,Bungoma,7 para,,,
Patient Monitor,St Vincent De paul,Vincent,725712237,,,,,5 Para,,,
Patient Monitor,Smith Hospital,Gladwell,707716534,,,,Migori,5 Para,,,
Patient Monitor,Dliss Hospital,Joseph,713230924,,,,Mumias,6 Para,,,
Patient Monitor,Dliss Hospital,Joseph,713230924,,,,Mumias,7 Para,,,
Patient Monitor,Luka Premier Hospital,Joshua,799922241,,,,Butere,7para-2504015002015,30/07/2025,30/01/2026,
Patient Monitor,St Joseph Health Centre,Adsa,715683924,,,,,Patient Monitor,04/09/2026,10/09/2026,
Patient Monitor,St Damiano Mission Hospital,Zakayo,722565776,,,,Bungoma,Patient Monitor,04/01/2026,10/09/2026,
Patient Monitor,Nyatieko Gesusu Health Centre,Cyrus,723138357,,,,Kisii,5 Para-2601220911012423,22/05/2026,22/11/2026,
Patient Monitor,Minto Medical Centre,Eunice,7422784915,,,,kiisii,260122091101235,21/05/2026,21/11/2026,
Autoclave,Ewaso Medical Centre,,,,,,Kiserian,18L,2019,,
Autoclave,Mishan Medical Clinic,,,,,,,,2019,,
Autoclave,Nasianda Dispensary,,,,,,,18L,2019,,
Autoclave,Waso Medical Services,,,,,,,18l,01/03/2020,,
Autoclave,Westside Hospital,,,,,,,39L,01/03/2020,,
Autoclave,Mitume Dispensary,,,,,,,18L,01/09/2020,,
Autoclave,Pendo Medicare Centre,,,,,,,18L,01/09/2020,,
Autoclave,Makunga Health Centre,,,,,,,18L,01/09/2020,,
Autoclave,Benacare Medical Centre,,,,,,,18L,01/09/2020,,
Autoclave,MINA MEDICAL CENTRE,,,,,,Eastleigh,18L,01/10/2020,,
Autoclave,KOYKOY DISPENSARY,,,,,,,18L,01/11/2020,,
Autoclave,GITWAMBA HEALTH CENTER,,,,,,,18L,01/11/2020,,
Autoclave,Kariobangi South Health Centre,,,,,,,39L,03/12/2021,,
Autoclave,X-tiriam Pharmacy and Dental Clinic,,,,,,,18l,01/06/2021,,
Autoclave,Caremax Health LTD,,,,,,,24L,01/07/2021,,
Autoclave,Jilango Dispensary,,,,,,,18L,01/09/2021,,
Autoclave,Kiambu West Healthcare,,,,,,,18L,22/11/2024,,
Autoclave,Bungoma Childrens Clinic,,,,,,,18L,22/09/2024,,
Autoclave,Mtwapa Medical Clinic,,,,,,,50L,01/06/2022,,
Autoclave,Gobbit Hospital,,,,,,,18L,,,
Autoclave,Modancare Medical Centre,,,,,,,18L,,,
Autoclave,Healthwise Medical Centre,,,,,,,35L,,,
Autoclave,Asher Healrh Limited,,,,,,,18l,,2022,
Autoclave,Ilara Healthcare,,,,,,,18L,,2022,
Autoclave,Thagana County,,,,,,,50L,0CT-2022,,
Autoclave,St Damiano,,,,,,,100L,,,
Autoclave,Genesis,,,,,,,,,,
Autoclave,Kape Pearl Medical Clinic,Shirley Kibet,782707350,,,,,,01/11/2024,,
Autoclave,St Damiano Mission Hospital,Mercy Lutuli,710566986,,,,,50L,25/10/2024,,
Autoclave,KEMRI,,,,,,,,,,
Autoclave,Bacasavi Hospital,Elizabeth,725283852,,,,,HY-F50D,26/7/24,,
Autoclave,Kiminini Cottage Hospital,Mary Stella,741306347,,,,,24L-1427,14/1/2025,,
Autoclave,Mother Amadea Hospital,Sr Veronica,721842098,,,,,100l,15/01/2015,,
Autoclave,St Damiano Mission Hospital,,,,,,,150L,,,
Autoclave,Comfy Healthcare,,,,,,,50L-25L-0937,07/08/2025,,
Autoclave,Luka Premier Hospital,,,,,,,25l-0938,30/07/2025,,
Autoclave,St.Judes Hospital,,25L-3441,,,,,,,,
Diathermy Machine,Arawelo,,,,,,,,,,
Diathermy Machine,Bayaan Nursing Home,,,,,,,,,,
Diathermy Machine,Tosha Medical,Raymond,720470076,,,,Malindi,,24/5/2021,,
Diathermy Machine,Katito Medical Centree,Godfrey,724817266,,,,Mbita,,,,
Diathermy Machine,Medist Supplies,,,,,,Nairobi,,0ct-2022,,
Diathermy Machine,Firenze Nursing Home,,,,,,,,2023-jan,,
Diathermy Machine,Cana Hospital,,,,,,,,,,
Diathermy Machine,Baraton Geremic Hospital,,,,,,,,,,
Diathermy Machine,Sr Freda Medical Centre,William,783924554,,,,,PE25000242,16/1/2025,16/7/2025,
Diathermy Machine,Trinity Mission Hospital,,,,,,Leseru,,,,
Diathermy Machine,Comfy Healthcare,,,,,,,PE25069842,07/08/2025,,
Diathermy Machine,Luka Premier Hospital,Joshua,799922241,,,,,PE25069642,30/07/2025,30/01/2026,
Diathermy Machine,Rehema Hospital Mbitini,,,,,,,,,,
Diathermy Machine,Alliance Hospital,Meshack,740566454,,,,,,19/01/26,19/06/2025,
Diathermy Machine,Alliance Hospital,Meshack,740566454,,,,Eastleigh,PE25107542,19/01/2026,19/06/2026,
Diathermy Machine,Deanish Hospital,celestine,711592371,,,,kitale,PE25107642,03/03/2026,09/03/2026,
Diathermy Machine,Nyatieko Gesusu Health,Cyrus,723138357,,,,KISII,PE26035442,22/05/2026,22/11/2026,
Oxygen Concentrator,Oxygen Concentrator,,,,,,,Dual,02/05/2020,,
Oxygen Concentrator,Mission of Mercy Hospital,,,,,,,,,,
Oxygen Concentrator,Mamela Medical Clinic,,,,,,,5l,06/03/2021,,
Oxygen Concentrator,Avic International Corporation,,,,,,,Dual,01/08/2021,,
Oxygen Concentrator,Bungoma Childrens Clinic,,,,,,,5l,22/09/2024,,
Oxygen Concentrator,Kangemio Health Centre,,,,,,,5L,01/02/2022,,
Oxygen Concentrator,Lare Healthcare,,,,,,,5L,01/02/2022,,
Oxygen Concentrator,Monks Medicare Africa ltd,,,,,,,10L,01/06/2022,,
Oxygen Concentrator,Hayaat Pharmacy,Dr Mohammed,,,,,,20230915005,16/8/2024,,
Oxygen Concentrator,Danesh Hospital,Celestine,711592371,,,,,2420700502,03/03/2026,,
Centrifuge,Manyatta LAB,,,,,,,6T,2019,,
Centrifuge,Naivasha Town Health Centre,,,,,,,6T,2019,,
Centrifuge,New Mauche Medical Clinic,,,,,,,6T,01/03/2020,,
Centrifuge,BETHANY MED CLINIC,,,,,,,6T,01/12/2020,,
Centrifuge,Medspot Pltinum Care Limited,,,,,,,6T,06/04/2021,,
Centrifuge,Appex Hospital,,,,,,,6T,01/06/2021,,
Centrifuge,Khamulati Medical Centre,,,,,,,6T,01/06/2021,,
Centrifuge,Usawa Reproductive Health Centre,,,,,,,6T,01/08/2021,,
Centrifuge,Jesean Pharmacy,,,,,,,6T,01/09/2022,,
Centrifuge,Kape Pearl Medical Clinic,Shirley Kibet,782707350,,,,,6T,01/11/2024,,
Centrifuge,KEMRI,,,,,,,6T,,,
Centrifuge,Amani Medical Clinic,,,,,,,8T,01/04/2022,,
Centrifuge,Kauma Clinic,,,,,,,6T,01/06/2022,,
Centrifuge,Cliniva Medical,,,,,,,,01/10/2022,,
Centrifuge,Webuye Sub-County Hospital,,,,,,,6T,01/12/2022,,
Microscope,Naivasha Town Health Centre,,,,,,,,,,
Microscope,St Gregory,,,,,,,Omega 7,24/12/2029,,
Microscope,Waso Medical Services,,,,,,,XSZ-107,01/03/2020,,
Microscope,Tasis Pharmacy,,,,,,,Omega 7,01/05/2020,,
Microscope,Shepherds Hospital,,,,,,,107BN,,,
Microscope,Shepherds Medical,,,,,,,Omega 7,,,
Microscope,Lafe Medical Centre,,,,,,,107BN,01/02/2022,,
Microscope,Senye Medical Clinic,,,,,,,107BN,01/04/2022,,
Microscope,Asad Medical Centre,,,,,,,0mega 7,01/05/2022,,
Microscope,Haremald International,,,,,,,Omega 7,01/06/2022,,
Microscope,Huduma Medical Services,,,,,,,Oympus cx21,01/06/2022,,
Microscope,Grandschem Healthcare,,,,,,,107BN,01/11/2022,,
Microscope,Mukaa AIC Health Centre,,,,,,,107BN,27/2/2023,,
Microscope,Hayat Medical Centre,,720987123,,,,South Sudan,107BN,16/8/2024,,
Wheelchair,Mohammed,,,,,,,Commode Chair,,,
Wheelchair,Mohammed,,,,,,,Standard Wheelchaire,,,
Wheelchair,Lemark Pharmaceuticals,,,,,,,Standard Wheelchaire,,,
Wheelchair,Medina Pharmacy,,,,,,,Standard Wheelchaire,,,
Wheelchair,Asher Healthcare ltd,,,,,,,Standard Wheelchaire,,,
Nebulizer,Ewaso Medical Centre,,,,,,,,,,
Nebulizer,Ofafa Jericho Health Centre,,,,,,,,01/03/2020,,
Nebulizer,Higher Grounds Medical Centre,,,,,,,,22/09/2024,,
Nebulizer,Eastleigh Health Centre,,,,,,,,22/09/2024,,
Nebulizer,Mariakani Cottage Hospital,,,,,,,,22/09/2024,,
Nebulizer,Mwananche Hospital,,,,,,,,22/09/2024,,
Nebulizer,Life first Medical Centre,,,,,,,,22/9/22,,
Nebulizer,Modancare Medical Centre,,,,,,,,23/9/22,,
Weighing Scale,Ewaso Medical Centre,,,,,,Kiserian,Baby Weighing Scale,2019,,
Weighing Scale,Ewaso Medical Centre,,,,,,Kiserian,Bathroom Scale,2019,,
Weighing Scale,Mishan Medical Clinic,,,,,,,Baby Weighing Scale,2019,,
Weighing Scale,Mowash Medical,,,,,,,Baby Weighing Scale,,,
Weighing Scale,Ofafa Jericho Health Centre,,,,,,,Baby Weighing Scale,01/03/2020,,
Weighing Scale,Roadway Medical Clinic,,,,,,Mailinne,Adult Scale With Height,,,
Weighing Scale,Naivasha Town Health Centre,,,,,,,Bathroom Scale,01/05/2021,,
Weighing Scale,Bayaan Nursing Home,,,,,,,Baby Weighing Scale,24/5/2021,,
Weighing Scale,Bayaan Nursing Home,,,,,,,Adult Scale With Height,24/5/2022,,
Weighing Scale,Homeground Medical Centre,,,,,,,Digital Weighing Scale,,,
Weighing Scale,Synon Medical,,,,,,,Bathroom Scale,01/06/2021,,
Weighing Scale,Ama Medical Clinic,,,,,,,Digital Adult Scale,22/11/2024,,
Weighing Scale,Dawasafe Hospital,,,,,,,Baby weighing scale,01/09/2022,,
Weighing Scale,Mama Ngina University,,,,,,,Digital Adult Scale,22/09/2024,,
Weighing Scale,Bahati Medical Clinic,,,,,,,Adult Scale With Height,23/09/2024,,
Weighing Scale,Bahati Medical Clinic,,,,,,,Baby Weighing Scale,,,
Weighing Scale,Port Florence Hospital,,,,,,,Elektro Weighing Scalre,01/06/2022,,
Weighing Scale,ICCO Medical Centre,,,,,,,Adult Scale With Height,01/06/2022,,
Weighing Scale,Zuri Health Centre,,,,,,,Adult Scale With Height,01/02/2022,,
Weighing Scale,Kotiende Nursing & Maternity Home,,,,,,,Adult Scale With Height,01/02/2022,,
Weighing Scale,Lenmeck Hospital,,,,,,,Baby Weighing Scale,01/03/2022,,
Weighing Scale,Emika Medical Clinic,,,,,,,Bathroom Scale,01/04/2022,,
Weighing Scale,Kivuli Dispensary,,,,,,,Bathroom Scale,01/04/2022,,
Weighing Scale,Bunyore Medical Centre,,,,,,,Bathroom Scale,01/05/2022,,
Weighing Scale,Joska Hospital,,,,,,,Adult Scale With Height,01/06/2022,,
Weighing Scale,St Luke Upstate Hospital,,,,,,,Digital Baby weighing Scale,01/06/2022,,
Weighing Scale,Mukaa AIC Health Centre,,,,,,,Digital Baby weighing Scale,01/02/2022,,
ECG Machine,Chaani Medical Clinic,Jared,721847649,,,,,,18/12/2019,,
ECG Machine,Undungu,Makori Philip,708551210,,,,Meru,230301000017,02/06/2024,,
ECG Machine,St James Infarmary Hospital,,,,,,,12 Channel,,,
ECG Machine,Crystal Health Consultants,,,,,,,,,,
ECG Machine,Mosaic Imaging Centre,,,,,,,Meditec,01/11/2022,,
ECG Machine,Katito medical centre,,,,,,,23030100027,19/7/2024,19/7/2024,
ECG Machine,Hayat Medical Centre,Dr Mohammed,,,,,,SE 1200,16/8/2024,,
ECG Machine,Sterling Healthcare Consultants,,,Dr Robert,Lab Technician,728634747,,SA 1200,08/06/2024,08/06/2024,08/06/2025
ECG Machine,Sterling Healthcare Consultants,,,Dr Stephen,Lab Technician,715700416,,,,,
ECG Machine,St Joseph Dispensary,Sr Ann,713560581,,,,,JPD 600P,06/06/2025,,
Examination Lamp,Musa Medical,,,,,,,,,,
Examination Lamp,Mama Ngina University,,,,,,,,,,
Examination Lamp,Mbungoni Catholic Clinic,,,,,,,,,,
Defibrillator,Mediquip Global,,,,,,,,,,
Defibrillator,Cavash Supplies ltd,,,,,,,,,,
Fetal Doppler,PGH Annex Hospital,,,,,,,,22/10/2024,,
Fetal Doppler,Palmcare Sinai Hospital,,,,,,,,22/09/2024,,
Fetal Doppler,Pona Care Medical Centre,,,,,,,JPE 100E,01/04/2022,,
Orbital Shaker,Kape Pearl Medical Clinic,Shirley Kibet,782707350,,,,,,01/11/2024,,
Orbital Shaker,Mercy Mission Hospital,,,,,,,,,,
Roller Mixer,KEMRI,Margaret,720714521,,,,Mtwapa,,,,
Roller Mixer,Mercy Mission Hospital,,,,,,,,,,
Syringe Pump,Holy Rosary Health Center,Sr. Kate,708532842,,,,ngonyek,syringe pump,23/02/2025,23/02/2025,
Fridge,Janeiro Nursing Home,,,Janet Atieno,Lab Technician,742974880,,Blood Bank Refrigirator,16/02/2023,,
Fridge,KEMRI,,,Beatrice Wavinya,Lab Technician,723871500,Mtwapa,Pharmacy Fridge,22/5/2023,,
Fridge,Alpha Hill Medical,,,Jocylin,Lab Technician,713800069,Eldoret,315L Fridge,20/2/2023,,
Fridge,Westside Healthcare,,,,,,Malaba,Blood Bank Refrigirator 138L,27/2/2023,,
Fridge,Hayat Pharmacy,,,,,,Juba,298l,16/8/2024,,
Fridge,St Monicas Health CARE,Elijah,725749184,,,,,138l,30/04/2026,,
Diagnostic Set,Hayat Medical Centre,Dr Mohammed,,,,,South Sudan,,16/08/2024,,
